src	dst	numberOfPaths
681504	3951283	1
681504	3234245	1
681504	4111768	1
681504	3243340	2
681504	3644278	1
681504	3634022	1
682183	3369970	2
682183	2972890	2
685001	3344163	1
685001	3553039	1
685001	3622491	2
685001	2928725	1
685001	728997	2
685001	3708489	1
685001	4380319	1
685001	4383199	2
685001	3473475	2
685001	3286088	2
685001	4171416	2
685001	3597140	1
685001	3589914	1
687180	3403399	1
687180	3531547	1
687180	3675641	1
687180	3854055	1
687180	4541525	1
687180	3163040	1
687180	3826160	1
687180	4053186	1
687180	3605942	1
687180	3638396	2
687180	3762092	1
687180	3869574	1
688312	3834277	1
688312	4247165	1
688312	3722622	1
688312	3732150	1
696084	3489411	1
696084	3603641	1
696084	546463	2
696084	3659010	1
696084	1610724	5
700537	3511623	1
700537	2979773	1
700537	4089163	1
700537	4310787	1
700537	4392963	1
700537	2966639	1
700537	3494705	2
700537	4305290	1
700537	256044	1
700537	4035346	1
700537	3007714	1
705562	4338593	1
705562	4304455	2
705600	4150159	1
715652	2928725	1
715652	3342980	2
715652	3887254	1
719368	3063578	2
721398	3383045	3
721500	3573475	1
721500	3786591	1
721500	3762060	1
721500	3949618	1
727548	3603567	2
728111	3939065	1
728111	3848561	1
728111	4459813	1
728111	3399777	1
728111	4188367	1
728111	4301254	1
728111	3889534	1
728111	3401458	1
728997	3344163	2
728997	3622491	4
728997	685001	2
728997	2928725	1
728997	3708489	4
728997	4380319	1
728997	4383199	2
728997	3473475	4
728997	3514047	1
728997	3667055	1
728997	3862973	1
728997	4079885	1
728997	3286088	4
728997	4332222	1
728997	4171416	3
728997	3597140	4
728997	3845692	1
728997	3979956	1
728997	3719426	1
730159	3101074	2
730985	3868087	1
730985	3821607	1
730985	3508289	1
730985	3706201	1
733911	3531499	2
733911	3324572	4
733911	3195576	5
735670	3176806	1
737511	3324556	3
738343	3076927	1
738343	840544	2
738343	3853942	1
741969	270447	2
741969	3093656	2
741969	4823426	2
741969	3529680	2
745036	3572691	1
749153	332303	1
749153	4306845	1
749153	3646481	1
749153	3375271	1
749153	3409804	1
749153	3200630	1
749153	3646720	1
749153	3645526	1
749153	3678592	1
749153	4828090	1
749153	4855852	1
752217	288945	2
752217	4365433	2
752217	1865519	2
752217	3603865	1
752217	3659735	1
752217	3496495	2
752217	3613175	2
752217	3509760	2
752217	3523942	2
752217	3922038	2
752217	3340146	2
752217	3661462	2
752217	3104312	2
752217	3599712	2
755877	3428571	1
755877	3420649	1
755877	3041950	1
755877	3659010	1
755877	3386048	1
755877	3732294	1
756418	3112435	1
756418	3942217	4
756418	3409093	1
756418	3455841	3
756418	3388813	5
756418	3827089	1
756418	4181447	1
756418	2990987	2
756418	3494129	3
756418	3998125	1
756418	3956204	1
756418	4126552	2
756418	3239112	1
756418	3330420	1
756418	3923556	2
759462	3029231	1
759462	3424457	2
759462	4119085	1
759462	4186003	1
759462	285151	1
759462	4166359	1
759462	3337079	2
759462	2981018	1
759462	770040	1
759462	4385012	1
759462	4279606	2
759462	3969432	1
762888	4089187	1
762888	4136679	1
763243	1433657	2
763243	3903103	1
763243	3165535	2
763243	3206631	1
763243	3253675	1
763243	3254911	1
763243	2935083	1
763243	3883753	2
763243	4252913	1
763243	1128355	1
763243	3238359	1
763243	3617325	1
763243	3243864	1
763243	1863472	1
767591	3616561	1
767591	3552848	2
767721	3384023	1
767721	2972975	1
767721	3246889	1
767721	3556570	1
767721	3343688	1
768994	3833915	1
768994	3514733	1
768994	4809551	1
768994	4332417	1
768994	3010122	2
768994	2964054	1
768994	3223152	1
768994	3750856	1
770040	3029231	1
770040	3424457	1
770040	4119085	1
770040	4186003	1
770040	285151	1
770040	4166359	1
770040	3337079	1
770040	759462	1
770040	2981018	3
770040	4385012	1
770040	4279606	1
770040	3969432	3
775103	3214257	2
775103	3784260	1
812399	3802242	1
840544	3076927	2
840544	738343	2
840544	3853942	2
868540	3273613	2
868540	3915324	1
899009	2985213	2
899009	2987647	2
899009	3301667	1
899009	3811751	1
899009	3293345	1
899009	3305351	1
899009	3576657	1
899009	2986479	1
899009	3290269	1
899009	3298213	1
899009	2989314	1
899009	3251588	2
899009	3293880	1
899009	4330042	2
899009	3306820	1
899009	4332324	1
899009	3292842	2
899009	3294478	1
899009	3575292	1
916971	3553762	1
916971	3592108	1
916971	3448958	1
916971	3492274	1
917339	1010995	1
917339	3240329	1
917339	2834575	1
917339	3243841	1
917339	4335591	1
917339	3864957	1
917339	4643749	1
917339	4805819	1
917339	47726	1
917339	4308850	1
917339	3204588	1
917339	3719736	1
917339	3147740	1
917339	3937780	1
917339	4813806	1
917339	3400072	1
1010995	917339	1
1010995	3240329	2
1010995	2834575	4
1010995	3243841	1
1010995	4335591	1
1010995	2998491	2
1010995	3813675	1
1010995	3864957	1
1010995	4643749	1
1010995	4805819	1
1010995	47726	2
1010995	4308850	1
1010995	3204588	1
1010995	3719736	1
1010995	3147740	3
1010995	3937780	1
1010995	4813806	1
1010995	3400072	1
1022227	1872893	3
1022227	3743549	1
1022227	1522429	2
1022227	3694289	3
1022227	3797507	2
1022227	1277519	3
1022227	3513483	2
1022227	1922117	2
1084567	3120391	4
1084567	3565700	1
1084567	3240310	2
1084567	3559238	3
1106474	3247877	2
1106474	506371	4
1106474	3268033	5
1106474	3708181	4
1106474	3581683	4
1106474	4832785	4
1106474	3622218	2
1106474	3222348	5
1106474	4177810	4
1106474	3108530	4
1106474	3736768	4
1120907	3563857	1
1120907	3651987	2
1120907	3026839	1
1120907	3371001	3
1120907	3773198	1
1120907	3876996	3
1128355	1433657	1
1128355	3903103	1
1128355	3165535	1
1128355	3206631	2
